	0	1	2
PRJNA885223	RNAseq reads	RNAseq SRF3 ubiquitination	
PRJNA909476	RNA-seq on calli of H3.3K27A Arabidopsis thaliana lines	Transcriptomics data harvested on Arabidopsis thaliana Ler ecotype transgenic lines ectopically expressing H3.3 control or H3.3K27A mutant (RNA-seq analysis) , 30 day-old calli.	
PRJNA923581	Arabidopsis thaliana cultivar:Columbia (thale cress)Arabidopsis thaliana cultivar:Columbia Transcriptome or Gene expression	To explore the function of endogenous peptides PROPEPs in Arabidopsis thaliana using RNA sequencing. Using 10-day-old octuple mutants propep1-8 #2-1 and #13-1 and wild-type seedlings with the peptide flg22 of pathogenic bacteria treated for four hours or not. It is worth noting that propep1-8 #2-1 is a bi-allele containing the deletion of AtPROPEP2/1/3 on one homologous chromosome but the inversion of AtPROPEP2/1/3 on the other. Less...	
PRJNA930173	GbCYP72A over-expression Arabidopsis under V. dahliae treatment	Transgenic and wild type plants were grown in vermiculite for four weeks, and roots were harvested after 3 days of treatment with V991 or water. To gain insight into the molecular mechanism for the resistance of GbCYP72A1a and GbCYP72A1d transgenic lines, comparative transcriptome analysis was performed among WT, OE-GbCYP72A1-1 and OE-GbCYP72A1d lines. Less...	
PRJNA903892	Revisiting AGAMOUS-LIKE15, a Key Somatic Embryogenesis 2 Regulator, using Next Generation Sequencing Analysis in Arabidopsis	AGAMOUS like 15 AGL15 is a member of the MADS domain transcription factor TF family. MADS proteins are named for a conserved domain that was originally from an acronym derived from genes expressed in a variety of eukaryotes. In plants, this family has expanded greatly, with more than one hundred members generally found in dicots, and the proteins encoded by these genes have often been associated with developmental identity. AGL15 is expressed primarily in embryos and has been found to promote an important process called plant regeneration via somatic embryogenesis SE. To understand how this TF performs this function, we have previously used microarray technologies to assess direct and indirect responsive targets of this TF. We have now revisited this question using next-generation sequencing NGS to both characterize in vivo binding sites for AGL15, as well as respond to the accumulation of AGL15. We have compared this data to the prior microarray results to evaluate the different platforms. The new NGS brought to light an interaction with brassinosteroid BR hormone signaling that was missed in prior gene ontology analysis from the microarray studies. Less...	
PRJNA896774	Arabidopsis thaliana isolate:Col0 (thale cress)Altering the balance between AOX1A and NDB2 expression affects a common set of transcripts in Arabidopsis	Stress-responsive components of the mitochondrial alternative electron transport pathway have the capacity to improve tolerance of plants to abiotic stress, particularly the alternative oxidase AOX1A but also external NAD(P)H dehydrogenases such as NDB2, in Arabidopsis. NDB2 and AOX1A can cooperate to entirely circumvent the classical electron transport chain in Arabidopsis mitochondria. Overexpression of AOX1A or NDB2 alone can have slightly negative impacts on plant growth under optimal conditions, while simultaneous overexpression of NDB2 and AOX1A can reverse these phenotypic effects. We have taken a global transcriptomic approach to better understand the molecular shifts that occur due to overexpression of AOX1A alone and with concomitant overexpression of NDB2. Of the transcripts that were significantly up- or down- regulated in the AOX1A overexpression line compared to wild type, the majority reverted to wild type levels in the dual overexpression line. Several mechanisms for the AOX1A overexpression phenotype are proposed. Many unique genes were deregulated in the NDB2 knockout line. Furthermore, several changes in transcript abundance seen in the NDB2 knockout line were consistent with changes in the AOX1A overexpression line. The results suggest that an imbalance in AOX1A:NDB2 protein levels caused by under- or overexpression of either component, triggers a common set of transcriptional responses that may be important in mitochondrial redox regulation. The most significant changes were transcripts associated with photosynthesis, secondary metabolism and oxidative stress responses Less...	"Published online: Sweetman C et al., ""Altering the balance between AOX1A and NDB2 expression affects a common set of transcripts in Arabidopsis"", Frontiers in Plant Science, 2022;13"
PRJNA896322	Arabidopsis thaliana (thale cress)Arabidopsis thaliana Raw sequence reads	RNAseq for two-time series of 38 degrees heat treated hl761 mutants and control plants	
PRJNA886726	Nuclear Matrix Attached Regions (MARs) in Arabidopsis cell culture	"Scaffold or Matrix Attachment Regions (MARs) are regions of the genome that attach to a protein matrix in the nucleus.These sequencing files are a whole-genome follow up to the work done in Pascuzzi, et al, 2014; ""In Vivo Mapping of Arabidopsis Scaffold/Matrix Attachment Regions Reveals Link to Nucleosome-Disfavoring Poly(dA:dT) Tracts"" Less..."	
PRJNA767196	The RNA-seq datasets of monocot and eudicot plants under cold stress (4 degrees centigrade) at 0, 2, 24, and 168 hours (h).	We performed RNA-seq experiments with the leaf tissues from five monocots (Setaria italica, Zea mays, Hordeum vulgare, Oryza sativa, and Phyllostachys edulis) and six eudicots (Betula pendula, Carya illinoinensis, Glycine max, Cucumis sativus, Populus trichocarpa, and Arabidopsis thaliana) subjected to cold treatment (4 degrees centigrade) for 0, 2, 24, and 168 hours (h). Before cold stress treatment, all the plant seedlings were cultured in an artificial climate chamber with 25 degrees centigrade at a photoperiod of 16/8 h light/dark cycle. For A. thaliana, three-week old seedlings were used for cold stress treatments. For other species, young seedlings growing up to ~30 cm in height were utilized. Total RNA of the leaves collected from each species was isolated, purified, and assessed by NanoDrop ND-1000 and Bioanalyzer 2100. Poly(A)-RNA was enriched for cDNA library construction and sequencing by Illumina NovaSeq 6000 (2 x 150 bp paired-end reads). Less...	"Guo L et al., ""Convergent evolution of AP2/ERF III and IX subfamilies through recurrent polyploidization and tandem duplication during eudicot adaptation to paleoenvironmental changes."", Plant Commun, 2022 Nov 14;3(6):100420Nie Y et al., ""Innovations and stepwise evolution of CBFs/DREB1s and their regulatory networks in angiosperms."", J Integr Plant Biol, 2022 Nov;64(11):2111-2125"
PRJNA928761	Innate immunity can distinguish beneficial from pathogenic rhizosphere microbiota	To determine if plant innate immunity can distinguish between closely related pathogenic and commensal strains of Pseudomonas fluorescens	
