SAMD00409086	DRR322286	DRX311625	SAMD00409086	DRS206684	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322286	DRX311625	SAMD00409086	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	HD2BgmI_5d_1	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	HD2BgmI/drol1-2 #1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00409086	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00409086	HD2BgmI/drol1-2 #1 5day old seedling					
SAMD00409087	DRR322287	DRX311626	SAMD00409087	DRS206685	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322287	DRX311626	SAMD00409087	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	HD2BgmI_5d_2	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	HD2BgmI/drol1-2 #9	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00409087	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00409087	HD2BgmI/drol1-2 #2 5day old seedling					
SAMD00229389	DRR322291	DRX234112	SAMD00229389	DRS152615	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322291	DRX234112	DRS152615	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_3d_2	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	Col 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229389	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229389	Col 3day					
SAMD00229389	DRR322288	DRX234103	SAMD00229389	DRS152615	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322288	DRX234103	DRS152615	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_3d_1	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	Col 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229389	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229389	Col 3day					
SAMD00229389	DRR322294	DRX234121	SAMD00229389	DRS152615	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322294	DRX234121	DRS152615	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_3d_3	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	Col 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229389	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229389	Col 3day					
SAMD00229390	DRR244307	DRX234104	SAMD00229390	DRS152616	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244307	DRX234104	DRS152616	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_5d_1	NextSeq 500	ILLUMINA	1288341623.0	15068331.0	3702	Arabidopsis thaliana	Col 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229390	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229390	Col 5day	f30a3bd17349e1ad464b120e5f82b42e	801033282	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244307/DRR244307.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244307/DRR244307.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244307/DRR244307.fastq.gz
SAMD00229390	DRR244325	DRX234122	SAMD00229390	DRS152616	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244325	DRX234122	DRS152616	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_5d_3	NextSeq 500	ILLUMINA	1287462587.0	15069689.0	3702	Arabidopsis thaliana	Col 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229390	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229390	Col 5day	09270dfe798f3b4aa51cd564d09dce9e	783468115	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244325/DRR244325.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244325/DRR244325.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244325/DRR244325.fastq.gz
SAMD00229390	DRR244316	DRX234113	SAMD00229390	DRS152616	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244316	DRX234113	DRS152616	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_5d_2	NextSeq 500	ILLUMINA	1190010586.0	13920538.0	3702	Arabidopsis thaliana	Col 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229390	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229390	Col 5day	78d3f2744bcb25397dcd8acfbee4a7aa	718903193	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244316/DRR244316.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244316/DRR244316.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244316/DRR244316.fastq.gz
SAMD00229391	DRR244317	DRX234114	SAMD00229391	DRS152617	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244317	DRX234114	DRS152617	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_7d_2	NextSeq 500	ILLUMINA	1168447387.0	13676403.0	3702	Arabidopsis thaliana	Col 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229391	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229391	Col 7day	29135929fc7fb42b3fba2b25754f89a6	729789340	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244317/DRR244317.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244317/DRR244317.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244317/DRR244317.fastq.gz
SAMD00229391	DRR244308	DRX234105	SAMD00229391	DRS152617	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244308	DRX234105	DRS152617	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_7d_1	NextSeq 500	ILLUMINA	1100697993.0	12887969.0	3702	Arabidopsis thaliana	Col 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229391	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229391	Col 7day	7bf96f32bb9550476971678afc1927a4	694915131	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244308/DRR244308.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244308/DRR244308.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244308/DRR244308.fastq.gz
SAMD00229391	DRR244326	DRX234123	SAMD00229391	DRS152617	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244326	DRX234123	DRS152617	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	Col_7d_3	NextSeq 500	ILLUMINA	1175932599.0	13778026.0	3702	Arabidopsis thaliana	Col 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229391	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229391	Col 7day	faf0e0cc2baca58efb5a9cfe6f69285f	743743438	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244326/DRR244326.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244326/DRR244326.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244326/DRR244326.fastq.gz
