SAMN13905676	SRR10953372	SRX7619896	SAMN13905676	SRS6052250	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279791_r1	GSM4279791	GSM4279791	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	4936308441.0	48874341.0	3702	Arabidopsis thaliana	control rep1	Illumina HiSeq 2500 sequencing; GSM4279791: control rep1; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279791: control rep1; Arabidopsis thaliana; RNA-Seq	control rep1	84d0cb1c30cea206a5cf85ef9f20b44b	4025669218	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/072/SRR10953372/SRR10953372.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/072/SRR10953372/SRR10953372.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/072/SRR10953372/SRR10953372.fastq.gz
SAMN13905684	SRR10953373	SRX7619897	SAMN13905684	SRS6052253	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279792_r1	GSM4279792	GSM4279792	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2587356390.0	25617390.0	3702	Arabidopsis thaliana	control rep2	Illumina HiSeq 2500 sequencing; GSM4279792: control rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279792: control rep2; Arabidopsis thaliana; RNA-Seq	control rep2	0cdd156b25d1b137f6e8d47936826352	1272610331	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/073/SRR10953373/SRR10953373.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/073/SRR10953373/SRR10953373.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/073/SRR10953373/SRR10953373.fastq.gz
SAMN13905684	SRR10953374	SRX7619897	SAMN13905684	SRS6052253	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279792_r2	GSM4279792	GSM4279792	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1523555003.0	15084703.0	3702	Arabidopsis thaliana	control rep2	Illumina HiSeq 2500 sequencing; GSM4279792: control rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279792: control rep2; Arabidopsis thaliana; RNA-Seq	control rep2	8292bbb805c76a4b70cecb3b69b0f0a2	785374371	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/074/SRR10953374/SRR10953374.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/074/SRR10953374/SRR10953374.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/074/SRR10953374/SRR10953374.fastq.gz
SAMN13905684	SRR10953375	SRX7619897	SAMN13905684	SRS6052253	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279792_r3	GSM4279792	GSM4279792	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1530856798.0	15156998.0	3702	Arabidopsis thaliana	control rep2	Illumina HiSeq 2500 sequencing; GSM4279792: control rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279792: control rep2; Arabidopsis thaliana; RNA-Seq	control rep2	4f39eb83ed4cccc8b7d0182f6bec6c4c	790668503	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/075/SRR10953375/SRR10953375.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/075/SRR10953375/SRR10953375.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/075/SRR10953375/SRR10953375.fastq.gz
SAMN13905683	SRR10953376	SRX7619898	SAMN13905683	SRS6052251	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279793_r1	GSM4279793	GSM4279793	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2451688140.0	24274140.0	3702	Arabidopsis thaliana	control rep3	Illumina HiSeq 2500 sequencing; GSM4279793: control rep3; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279793: control rep3; Arabidopsis thaliana; RNA-Seq	control rep3	18ad17d22eae4c0d92ae4123dea15feb	1174394535	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/076/SRR10953376/SRR10953376.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/076/SRR10953376/SRR10953376.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/076/SRR10953376/SRR10953376.fastq.gz
SAMN13905683	SRR10953377	SRX7619898	SAMN13905683	SRS6052251	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279793_r2	GSM4279793	GSM4279793	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1382000574.0	13683174.0	3702	Arabidopsis thaliana	control rep3	Illumina HiSeq 2500 sequencing; GSM4279793: control rep3; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279793: control rep3; Arabidopsis thaliana; RNA-Seq	control rep3	90bac33ae721adc7d2119a96c33e0889	695889425	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/077/SRR10953377/SRR10953377.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/077/SRR10953377/SRR10953377.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/077/SRR10953377/SRR10953377.fastq.gz
SAMN13905683	SRR10953378	SRX7619898	SAMN13905683	SRS6052251	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279793_r3	GSM4279793	GSM4279793	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1388164503.0	13744203.0	3702	Arabidopsis thaliana	control rep3	Illumina HiSeq 2500 sequencing; GSM4279793: control rep3; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279793: control rep3; Arabidopsis thaliana; RNA-Seq	control rep3	f1b295918635a80e70daca97d882c185	700412554	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/078/SRR10953378/SRR10953378.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/078/SRR10953378/SRR10953378.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/078/SRR10953378/SRR10953378.fastq.gz
SAMN13905682	SRR10953379	SRX7619899	SAMN13905682	SRS6052252	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279794_r1	GSM4279794	GSM4279794	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2613120480.0	25872480.0	3702	Arabidopsis thaliana	oviposition rep1	Illumina HiSeq 2500 sequencing; GSM4279794: oviposition rep1; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279794: oviposition rep1; Arabidopsis thaliana; RNA-Seq	oviposition rep1	b6a49811666b0b52a7cc73d540e6a473	1281492226	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/079/SRR10953379/SRR10953379.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/079/SRR10953379/SRR10953379.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/079/SRR10953379/SRR10953379.fastq.gz
SAMN13905682	SRR10953380	SRX7619899	SAMN13905682	SRS6052252	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279794_r2	GSM4279794	GSM4279794	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1571377695.0	15558195.0	3702	Arabidopsis thaliana	oviposition rep1	Illumina HiSeq 2500 sequencing; GSM4279794: oviposition rep1; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279794: oviposition rep1; Arabidopsis thaliana; RNA-Seq	oviposition rep1	f5fc3cd08e7652abda7a1d454a87e2b2	806610173	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/080/SRR10953380/SRR10953380.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/080/SRR10953380/SRR10953380.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/080/SRR10953380/SRR10953380.fastq.gz
SAMN13905682	SRR10953381	SRX7619899	SAMN13905682	SRS6052252	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279794_r3	GSM4279794	GSM4279794	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1578649190.0	15630190.0	3702	Arabidopsis thaliana	oviposition rep1	Illumina HiSeq 2500 sequencing; GSM4279794: oviposition rep1; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279794: oviposition rep1; Arabidopsis thaliana; RNA-Seq	oviposition rep1	55d37bc1a44d0c0c60983df1eee7a08c	811911183	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/081/SRR10953381/SRR10953381.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/081/SRR10953381/SRR10953381.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/081/SRR10953381/SRR10953381.fastq.gz
SAMN13905681	SRR10953382	SRX7619900	SAMN13905681	SRS6052254	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279795_r1	GSM4279795	GSM4279795	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1351280515.0	13379015.0	3702	Arabidopsis thaliana	oviposition rep2	Illumina HiSeq 2500 sequencing; GSM4279795: oviposition rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279795: oviposition rep2; Arabidopsis thaliana; RNA-Seq	oviposition rep2	18fc8bbfd3793385b38a336ed419163f	673477744	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/082/SRR10953382/SRR10953382.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/082/SRR10953382/SRR10953382.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/082/SRR10953382/SRR10953382.fastq.gz
