SAMN31655763	SRR22227271	SRX18204845	SAMN31655763	SRS15702068	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720892_r1	GSM6720892_r1	GSM6720892	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720892	Illumina HiSeq 4000	ILLUMINA	1783314800.0	8916574.0	3702	Arabidopsis thaliana	uninfected Col-0 A. thaliana leaves [WT_0dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720892: uninfected Col-0 A. thaliana leaves [WT_0dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720892: uninfected Col-0 A. thaliana leaves [WT_0dpi_a]; Arabidopsis thaliana; RNA-Seq	uninfected Col-0 A. thaliana leaves [WT_0dpi_a]	0c7f063c3f25ec88665ec68defed42b9;5e29117717ac5975ad839263491ff4e3	556700813;601248383	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_2.fastq.gz
SAMN31655762	SRR22227269	SRX18204846	SAMN31655762	SRS15702069	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720893_r1	GSM6720893_r1	GSM6720893	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720893	Illumina HiSeq 4000	ILLUMINA	1332384600.0	6661923.0	3702	Arabidopsis thaliana	uninfected Col-0 A. thaliana leaves [WT_0dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720893: uninfected Col-0 A. thaliana leaves [WT_0dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720893: uninfected Col-0 A. thaliana leaves [WT_0dpi_b]; Arabidopsis thaliana; RNA-Seq	uninfected Col-0 A. thaliana leaves [WT_0dpi_b]	94d546093acac415071f765ac0675f33;b3432e0aef911caeafdf81ad53e3b287	419703121;456065846	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/069/SRR22227269/SRR22227269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/069/SRR22227269/SRR22227269_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/069/SRR22227269/SRR22227269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/069/SRR22227269/SRR22227269_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/069/SRR22227269/SRR22227269_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/069/SRR22227269/SRR22227269_2.fastq.gz
SAMN31655762	SRR22227270	SRX18204846	SAMN31655762	SRS15702069	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720893_r2	GSM6720893_r1	GSM6720893	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720893	Illumina HiSeq 4000	ILLUMINA	1657902000.0	8289510.0	3702	Arabidopsis thaliana	uninfected Col-0 A. thaliana leaves [WT_0dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720893: uninfected Col-0 A. thaliana leaves [WT_0dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720893: uninfected Col-0 A. thaliana leaves [WT_0dpi_b]; Arabidopsis thaliana; RNA-Seq	uninfected Col-0 A. thaliana leaves [WT_0dpi_b]	f323e9291ae3b7180bafd1bfa7f5e965;e8f8fb5d565a69cbc7528b6db7f86da0	529509365;571954782	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/070/SRR22227270/SRR22227270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/070/SRR22227270/SRR22227270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/070/SRR22227270/SRR22227270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/070/SRR22227270/SRR22227270_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/070/SRR22227270/SRR22227270_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/070/SRR22227270/SRR22227270_2.fastq.gz
SAMN31655761	SRR22227267	SRX18204847	SAMN31655761	SRS15702070	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720894_r1	GSM6720894_r1	GSM6720894	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720894	Illumina HiSeq 4000	ILLUMINA	1273226800.0	6366134.0	3702	Arabidopsis thaliana	uninfected Col-0 A. thaliana leaves [WT_0dpi_c]	Illumina HiSeq 4000 sequencing; GSM6720894: uninfected Col-0 A. thaliana leaves [WT_0dpi_c]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720894: uninfected Col-0 A. thaliana leaves [WT_0dpi_c]; Arabidopsis thaliana; RNA-Seq	uninfected Col-0 A. thaliana leaves [WT_0dpi_c]	f39a88e45caeae403b7295fa475f0868;bae3c946ff305f3f6540c72b28a4bbb0	442081133;451711329	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/067/SRR22227267/SRR22227267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/067/SRR22227267/SRR22227267_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/067/SRR22227267/SRR22227267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/067/SRR22227267/SRR22227267_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/067/SRR22227267/SRR22227267_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/067/SRR22227267/SRR22227267_2.fastq.gz
SAMN31655761	SRR22227268	SRX18204847	SAMN31655761	SRS15702070	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720894_r2	GSM6720894_r1	GSM6720894	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720894	Illumina HiSeq 4000	ILLUMINA	1922099800.0	9610499.0	3702	Arabidopsis thaliana	uninfected Col-0 A. thaliana leaves [WT_0dpi_c]	Illumina HiSeq 4000 sequencing; GSM6720894: uninfected Col-0 A. thaliana leaves [WT_0dpi_c]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720894: uninfected Col-0 A. thaliana leaves [WT_0dpi_c]; Arabidopsis thaliana; RNA-Seq	uninfected Col-0 A. thaliana leaves [WT_0dpi_c]	f841ef0370068d1e44e92e063fbd1927;3c7f136db969e099ee17edf98f425b06	659277247;688852966	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/068/SRR22227268/SRR22227268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/068/SRR22227268/SRR22227268_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/068/SRR22227268/SRR22227268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/068/SRR22227268/SRR22227268_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/068/SRR22227268/SRR22227268_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/068/SRR22227268/SRR22227268_2.fastq.gz
SAMN31655760	SRR22227265	SRX18204848	SAMN31655760	SRS15702071	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720895_r1	GSM6720895_r1	GSM6720895	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720895	Illumina HiSeq 4000	ILLUMINA	1023651600.0	5118258.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720895: Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720895: Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_a]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_a]	7bd17a0cf4c35fce1606942e14fa1183;3bfa050951e150ae0ade20c408975f30	349387003;370514416	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/065/SRR22227265/SRR22227265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/065/SRR22227265/SRR22227265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/065/SRR22227265/SRR22227265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/065/SRR22227265/SRR22227265_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/065/SRR22227265/SRR22227265_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/065/SRR22227265/SRR22227265_2.fastq.gz
SAMN31655760	SRR22227266	SRX18204848	SAMN31655760	SRS15702071	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720895_r2	GSM6720895_r1	GSM6720895	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720895	Illumina HiSeq 4000	ILLUMINA	1201614200.0	6008071.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720895: Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720895: Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_a]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_a]	3594af63c8185fd75a1700a17c282fd3;b02fecd01d8e1bd12b9c625d721bffb9	421472842;440321848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/066/SRR22227266/SRR22227266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/066/SRR22227266/SRR22227266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/066/SRR22227266/SRR22227266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/066/SRR22227266/SRR22227266_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/066/SRR22227266/SRR22227266_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/066/SRR22227266/SRR22227266_2.fastq.gz
SAMN31655759	SRR22227263	SRX18204849	SAMN31655759	SRS15702072	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720896_r1	GSM6720896_r1	GSM6720896	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720896	Illumina HiSeq 4000	ILLUMINA	1159466800.0	5797334.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720896: Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720896: Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_b]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_b]	6d33bd5424aa0157de176a4b86f1e9ea;b64595cb9fdd7d8989eb01be959cc0b2	409926057;422037687	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/063/SRR22227263/SRR22227263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/063/SRR22227263/SRR22227263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/063/SRR22227263/SRR22227263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/063/SRR22227263/SRR22227263_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/063/SRR22227263/SRR22227263_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/063/SRR22227263/SRR22227263_2.fastq.gz
SAMN31655759	SRR22227264	SRX18204849	SAMN31655759	SRS15702072	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720896_r2	GSM6720896_r1	GSM6720896	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720896	Illumina HiSeq 4000	ILLUMINA	1777613400.0	8888067.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720896: Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720896: Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_b]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 2 days post S. sclerotiorum inoculation [WT_2dpi_b]	496a3b9cf91579719c1c850172228c85;4841bd71e1400bd564eab096d5d2a206	621332719;652508271	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/064/SRR22227264/SRR22227264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/064/SRR22227264/SRR22227264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/064/SRR22227264/SRR22227264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/064/SRR22227264/SRR22227264_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/064/SRR22227264/SRR22227264_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/064/SRR22227264/SRR22227264_2.fastq.gz
SAMN31655758	SRR22227261	SRX18204850	SAMN31655758	SRS15702073	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720897_r1	GSM6720897_r1	GSM6720897	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720897	Illumina HiSeq 4000	ILLUMINA	807633800.0	4038169.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720897: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720897: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_a]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_a]	f4aab0b3760d6a40af0a361ba1aadd7e;af1d320a3b70d0e9992c6961de234266	300194784;307125133	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/061/SRR22227261/SRR22227261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/061/SRR22227261/SRR22227261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/061/SRR22227261/SRR22227261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/061/SRR22227261/SRR22227261_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/061/SRR22227261/SRR22227261_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/061/SRR22227261/SRR22227261_2.fastq.gz
SAMN31655758	SRR22227262	SRX18204850	SAMN31655758	SRS15702073	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720897_r2	GSM6720897_r1	GSM6720897	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720897	Illumina HiSeq 4000	ILLUMINA	1249170600.0	6245853.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720897: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720897: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_a]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_a]	8909232fd47787cb5035cfd1c00574c8;667c8eb180a0299b4065287a2da08ac6	458077768;476953185	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/062/SRR22227262/SRR22227262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/062/SRR22227262/SRR22227262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/062/SRR22227262/SRR22227262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/062/SRR22227262/SRR22227262_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/062/SRR22227262/SRR22227262_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/062/SRR22227262/SRR22227262_2.fastq.gz
